L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,size,covered
1RadLex entity,object,foreign body,bezoar,phytobezoar,,,,,,,1,0
4RadLex entity,object,medical object,medical device,implantable device,orthopedic device,external device,sling,,,,1,0
1RadLex entity,object,medical object,medical device,implantable device,orthopedic device,external device,splint,,,,1,0
5RadLex entity,object,medical object,medical device,surgical implement,sponge,,,,,,1,0
2RadLex entity,object,foreign body,missile,bullet,,,,,,,1,0
4RadLex entity,Radlex descriptor,patient descriptor,gender,female,,,,,,,1,0
5RadLex entity,Radlex descriptor,disease origin descriptor,congenital,genetic,hereditary,,,,,,1,0
10RadLex entity,Radlex descriptor,disease origin descriptor,congenital,acquired,developmental,,,,,,1,0
38RadLex entity,Radlex descriptor,disease origin descriptor,idiopathic,,,,,,,,1,0
1RadLex entity,Radlex descriptor,disease origin descriptor,iatrogenic,,,,,,,,1,0
60RadLex entity,Radlex descriptor,status descriptor,severe,,,,,,,,1,0
15RadLex entity,Radlex descriptor,aggressiveness descriptor,aggressive,,,,,,,,1,0
4RadLex entity,Radlex descriptor,aggressiveness descriptor,invasive,,,,,,,,1,0
1RadLex entity,Radlex descriptor,status descriptor,limited,,,,,,,,1,0
2RadLex entity,Radlex descriptor,status descriptor,incomplete,,,,,,,,1,0
1RadLex entity,Radlex descriptor,status descriptor,partial,,,,,,,,1,0
3RadLex entity,Radlex descriptor,status descriptor,complete,,,,,,,,1,0
4RadLex entity,Radlex descriptor,status descriptor,major,,,,,,,,1,0
5RadLex entity,Radlex descriptor,imaging observation descriptor,distribution pattern,segmental,,,,,,,1,0
1RadLex entity,Radlex descriptor,location descriptor,subsegmental,,,,,,,,1,0
8RadLex entity,Radlex descriptor,imaging observation descriptor,distribution pattern,diffuse,,,,,,,1,0
21RadLex entity,Radlex descriptor,imaging observation descriptor,distribution pattern,focal,,,,,,,1,0
10RadLex entity,Radlex descriptor,imaging observation descriptor,distribution pattern,multifocal,,,,,,,1,0
50RadLex entity,Radlex descriptor,temporal descriptor,chronic,,,,,,,,1,0
2RadLex entity,Radlex descriptor,temporal descriptor,reversible,,,,,,,,1,0
1RadLex entity,Radlex descriptor,temporal descriptor,previous,,,,,,,,1,0
3RadLex entity,Radlex descriptor,temporal descriptor,residual,,,,,,,,1,0
109RadLex entity,Radlex descriptor,composition descriptor,cystic,,,,,,,,1,0
1RadLex entity,Radlex descriptor,composition descriptor,serous,,,,,,,,1,0
16RadLex entity,Radlex descriptor,composition descriptor,solidness descriptor,solid,,,,,,,1,0
7RadLex entity,Radlex descriptor,composition descriptor,hemorrhagic,,,,,,,,1,0
1RadLex entity,Radlex descriptor,composition descriptor,mucinous,,,,,,,,1,0
13RadLex entity,Radlex descriptor,composition descriptor,calcified,,,,,,,,1,0
4RadLex entity,Radlex descriptor,composition descriptor,ossified,,,,,,,,1,0
8RadLex entity,Radlex descriptor,composition descriptor,simple,,,,,,,,1,0
19RadLex entity,Radlex descriptor,composition descriptor,complex,,,,,,,,1,0
13RadLex entity,Radlex descriptor,quantity descriptor,single,,,,,,,,1,0
30RadLex entity,Radlex descriptor,location descriptor,laterality,bilateral,,,,,,,1,0
43RadLex entity,Radlex descriptor,size descriptor,small,,,,,,,,1,0
1RadLex entity,Radlex descriptor,generalized descriptor,medium,,,,,,,,1,0
33RadLex entity,Radlex descriptor,size descriptor,large,,,,,,,,1,0
13RadLex entity,Radlex descriptor,size descriptor,giant,,,,,,,,1,0
9RadLex entity,Radlex descriptor,size descriptor,dilated,,,,,,,,1,0
8RadLex entity,Radlex descriptor,size descriptor,enlarged,,,,,,,,1,0
9RadLex entity,Radlex descriptor,imaging observation descriptor,visibility descriptor,prominent,,,,,,,1,0
1RadLex entity,Radlex descriptor,size descriptor,widened,,,,,,,,1,0
4RadLex entity,Radlex descriptor,morphologic descriptor,round,,,,,,,,1,0
4RadLex entity,Radlex descriptor,morphologic descriptor,irregular,,,,,,,,1,0
2RadLex entity,Radlex descriptor,imaging observation descriptor,distribution pattern,linear,,,,,,,1,0
22RadLex entity,Radlex descriptor,location descriptor,anterior,,,,,,,,1,0
15RadLex entity,Radlex descriptor,location descriptor,posterior,,,,,,,,1,0
8RadLex entity,Radlex descriptor,location descriptor,medial,,,,,,,,1,0
4RadLex entity,Radlex descriptor,location descriptor,superior,,,,,,,,1,0
2RadLex entity,Radlex descriptor,location descriptor,inferior,,,,,,,,1,0
18RadLex entity,Radlex descriptor,location descriptor,laterality,left,,,,,,,1,0
35RadLex entity,Radlex descriptor,location descriptor,laterality,right,,,,,,,1,0
4RadLex entity,Radlex descriptor,location descriptor,midline,,,,,,,,1,0
6RadLex entity,Radlex descriptor,location descriptor,central,,,,,,,,1,0
9RadLex entity,Radlex descriptor,location descriptor,peripheral,,,,,,,,1,0
19RadLex entity,Radlex descriptor,location descriptor,proximal,,,,,,,,1,0
17RadLex entity,Radlex descriptor,location descriptor,distal,,,,,,,,1,0
8RadLex entity,Radlex descriptor,location descriptor,caudal,,,,,,,,1,0
2RadLex entity,Radlex descriptor,location descriptor,superficial,,,,,,,,1,0
4RadLex entity,Radlex descriptor,location descriptor,displaced,,,,,,,,1,0
12RadLex entity,Radlex descriptor,anatomically-related descriptor,ectopic,,,,,,,,1,0
2RadLex entity,Radlex descriptor,location descriptor,inverted,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,dorsal,,,,,,,,1,0
1RadLex entity,Radlex descriptor,anatomically-related descriptor,ventral,,,,,,,,1,0
20RadLex entity,Radlex descriptor,location descriptor,adjacent,,,,,,,,1,0
10RadLex entity,Radlex descriptor,orientation descriptor,vertical,,,,,,,,1,0
5RadLex entity,Radlex descriptor,orientation descriptor,transverse,,,,,,,,1,0
11RadLex entity,Radlex descriptor,orientation descriptor,radial,,,,,,,,1,0
1RadLex entity,Radlex descriptor,orientation descriptor,concentric,,,,,,,,1,0
1RadLex entity,Radlex descriptor,orientation descriptor,eccentric,,,,,,,,1,0
1RadLex entity,Radlex descriptor,orientation descriptor,sagittal,,,,,,,,1,0
12RadLex entity,Radlex descriptor,orientation descriptor,coronal,,,,,,,,1,0
3RadLex entity,Radlex descriptor,morphologic descriptor,aerated,,,,,,,,1,0
1RadLex entity,Radlex descriptor,morphologic descriptor,bulky,,,,,,,,1,0
5RadLex entity,Radlex descriptor,morphologic descriptor,fatty,,,,,,,,1,0
38RadLex entity,Radlex descriptor,morphologic descriptor,fibrous,,,,,,,,1,0
2RadLex entity,Radlex descriptor,morphologic descriptor,flattened,,,,,,,,1,0
3RadLex entity,Radlex descriptor,morphologic descriptor,fusiform,,,,,,,,1,0
2RadLex entity,Radlex descriptor,morphologic descriptor,lacunar,,,,,,,,1,0
3RadLex entity,Radlex descriptor,morphologic descriptor,mixed,,,,,,,,1,0
8RadLex entity,Radlex descriptor,morphologic descriptor,multilocular,,,,,,,,1,0
1RadLex entity,Radlex descriptor,morphologic descriptor,narrowed,,,,,,,,1,0
8RadLex entity,Radlex descriptor,morphologic descriptor,obstructed,,,,,,,,1,0
7RadLex entity,Radlex descriptor,morphologic descriptor,patent,,,,,,,,1,0
1RadLex entity,Radlex descriptor,morphologic descriptor,patulous,,,,,,,,1,0
5RadLex entity,Radlex descriptor,morphologic descriptor,pleomorphic,,,,,,,,1,0
4RadLex entity,Radlex descriptor,morphologic descriptor,punctate,,,,,,,,1,0
4RadLex entity,Radlex descriptor,physiological condition descriptor,ruptured,,,,,,,,1,0
4RadLex entity,Radlex descriptor,morphologic descriptor,sclerosing,,,,,,,,1,0
1RadLex entity,Radlex descriptor,morphologic descriptor,shallow,,,,,,,,1,0
1RadLex entity,Radlex descriptor,morphologic descriptor,sharp,,,,,,,,1,0
2RadLex entity,Radlex descriptor,morphologic descriptor,tethered,,,,,,,,1,0
3RadLex entity,Radlex descriptor,morphologic descriptor,thickened,,,,,,,,1,0
1RadLex entity,Radlex descriptor,motion descriptor,sliding,,,,,,,,1,0
5RadLex entity,Radlex descriptor,orientation descriptor,ascending,,,,,,,,1,0
1RadLex entity,Radlex descriptor,orientation descriptor,descending,,,,,,,,1,0
1RadLex entity,Radlex descriptor,imaging observation descriptor,radiopacity,radiopaque,,,,,,,1,0
